trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.002, 'e': 0.9212719586963487}",20,0,-48.81296332826637,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
43,False,"{'a': 0.002, 'e': 0.9194312560951247}",20,0,-96.13765357988912,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
44,False,"{'a': 0.002, 'e': 0.9175942312201509}",20,0,-148.7233299479703,"{0: 8, 1: 5, 2: 5, 3: 0, 4: 2}",0
45,False,"{'a': 0.002, 'e': 0.9157608767233256}",25,0,-117.97152794957695,"{0: 17, 1: 4, 2: 1, 3: 1, 4: 2}",0
46,False,"{'a': 0.002, 'e': 0.9139311852712282}",20,0,-191.03711745542975,"{0: 10, 1: 1, 2: 4, 3: 2, 4: 3}",0
47,False,"{'a': 0.002, 'e': 0.9121051495450904}",30,16,-43.32519845398828,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 1}",1
48,False,"{'a': 0.002, 'e': 0.910282762240767}",25,0,-83.14391374534668,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
49,False,"{'a': 0.002, 'e': 0.9084640160687062}",20,0,-87.96932331965374,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
50,False,"{'a': 0.002, 'e': 0.9066489037539209}",30,9,-152.07417833908946,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 3}",1
51,False,"{'a': 0.002, 'e': 0.9048374180359595}",25,0,-187.44411885740047,"{0: 12, 1: 4, 2: 6, 3: 0, 4: 3}",0
52,False,"{'a': 0.002, 'e': 0.9030295516688768}",30,0,-114.12801740556824,"{0: 19, 1: 2, 2: 8, 3: 0, 4: 1}",0
53,False,"{'a': 0.002, 'e': 0.9012252974212047}",20,0,-85.9730235388679,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
54,False,"{'a': 0.002, 'e': 0.899424648075924}",20,0,-139.70286242232532,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
55,False,"{'a': 0.002, 'e': 0.8976275964304349}",20,0,-83.63070186820262,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
56,False,"{'a': 0.002, 'e': 0.8958341352965282}",30,10,-160.92134223725637,"{0: 8, 1: 3, 2: 4, 3: 4, 4: 1}",1
57,False,"{'a': 0.002, 'e': 0.8940442575003572}",30,0,-142.11788036666522,"{0: 17, 1: 2, 2: 9, 3: 1, 4: 1}",0
58,False,"{'a': 0.002, 'e': 0.8922579558824083}",30,0,-280.1278694226125,"{0: 14, 1: 2, 2: 6, 3: 5, 4: 3}",0
59,False,"{'a': 0.002, 'e': 0.8904752232974726}",20,0,-81.51039927066073,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
60,False,"{'a': 0.002, 'e': 0.8886960526146174}",20,0,-79.2584363604743,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
61,False,"{'a': 0.002, 'e': 0.8869204367171575}",25,0,-37.924576264406475,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
62,False,"{'a': 0.002, 'e': 0.8851483685026271}",20,0,-136.3423136152909,"{0: 8, 1: 3, 2: 5, 3: 4, 4: 0}",0
63,False,"{'a': 0.002, 'e': 0.8833798408827509}",25,0,-124.57589997103429,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
64,False,"{'a': 0.002, 'e': 0.8816148467834161}",35,0,-207.87360457805772,"{0: 18, 1: 7, 2: 7, 3: 0, 4: 3}",0
65,False,"{'a': 0.002, 'e': 0.8798533791446438}",25,0,-160.2545118778756,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
